Year,DMUI_Ratio,DMUI_Ratio_ST
1960,0.8002520760567796,0.8184028343365791
1961,0.797157497407295,0.8023172561652747
1962,0.7858611661445799,0.7975040714371683
1963,0.800970440791977,0.796781553982505
1964,0.8029479506899416,0.7820682690616134
1965,0.7828952049983996,0.7657288702827634
1966,0.7592825410876124,0.762950604826197
1967,0.7561783964479776,0.7504986713859911
1968,0.7513311955321431,0.7379896479301593
1969,0.8046050514989052,0.7244711375696203
1970,0.7500873998337552,0.7270743586797708
1971,0.8112152417687021,0.720030667821574
1972,0.8067282355287082,0.7145780469729623
1973,0.8018521150128953,0.7124794835878675
1974,0.7974309709358101,0.7274974289814352
1975,0.7909921784919461,0.7353535321746938
1976,0.7822194112829666,0.7389788826488629
1977,0.7359390597763369,0.7344161880913039
1978,0.8358006333267648,0.7192007288648028
1979,0.812149532827245,0.7409025422425596
1980,0.7223765495066907,0.7472088867553853
1981,0.7292880818713854,0.7753454391846949
1982,0.7504486558350467,0.7855739750531389
1983,0.7489881085821454,0.7868479690802391
1984,0.736601473165447,0.7753717590403157
1985,0.7321097301227039,0.7707339603629935
1986,0.7299312481757525,0.7644104819265692
1987,0.6852374639765536,0.7276752203687821
1988,0.6696279891934532,0.7071476368752522
1989,0.6662466504214524,0.6943671231429993
1990,0.6729803266751424,0.698922542052882
1991,0.693900196154293,0.7136485885797516
1992,0.6988771688241366,0.7076792275530448
1993,0.7127834304516821,0.7187270873094826
1994,0.7140963219925275,0.7170688032259409
1995,0.7256731932146846,0.7355815514020265
1996,0.7106934328382626,0.726910202797414
1997,0.6989981680598155,0.7088211601972966
1998,0.687786280722472,0.6973909264466995
1999,0.6716986514553842,0.6743939369155104
2000,0.6716986514553842,0.682613372964479
2001,0.6856537342554875,0.7026609164721445
2002,0.6874561992748928,0.7009973607626442
2003,0.6893733529564459,0.6989608590893089
2004,0.6587690285624422,0.6627868263522108
2005,0.6469234737716826,0.6444923879756026
2006,0.6463734417933834,0.6415116953826121
2007,NA,NA
2008,NA,NA
2009,NA,NA
2010,NA,NA
2011,NA,NA
2012,0.6559370413424296,0.6574327463602414
2013,0.6727971499033426,0.6728322049814617
2014,0.6599977761025029,0.6570487229226121
2015,0.6525103073331218,0.6414527796344277
2016,0.6787420040497997,0.6538670545170704
2017,0.6502947362439077,0.6287233137242362
2018,0.6581027583437292,0.6329324493919877
