"","Year","meanlog","sdlog","median"
"1",2000,10.1619449441132,1.01724191312314,25898.6194742161
"2",2001,10.1703040904879,0.995571278536076,26116.0171890694
"3",2002,10.1964648703588,0.988241431984079,26808.2477323084
"4",2003,10.2369458227851,0.985018314895001,27915.7359898121
"5",2004,10.2762844124007,1.00322920026798,29035.7878636406
"6",2005,10.3215520823458,1.00784378040168,30380.3738645361
"7",2006,10.3524239919643,1.0075169547207,31332.9015435556
"8",2012,10.4619006779567,0.98356909867411,34957.9321137869
"9",2013,10.4873485838576,0.972236693998454,35858.9542192557
"10",2014,10.5153266400548,0.982164573137368,36876.3845499612
"11",2015,10.5492807323525,0.98351655478524,38149.9883886644
"12",2016,10.6114913757671,0.978423255535972,40598.7020459435
"13",2017,10.6114913757671,0.978423255535972,40598.7020459435
"14",2018,10.6552036037033,0.962877472947184,42412.7203170028
